***************************************
********************
id: 677, start:[2864, 850], finish: [2695, 813], earliest_start: 1, latest finish: 12964, distance: 206
id: 4377, start:[3120, 1206], finish: [3079, 975], earliest_start: 1, latest finish: 9117, distance: 272
id: 1066, start:[2136, 1148], finish: [2350, 1082], earliest_start: 1, latest finish: 15077, distance: 280
id: 7463, start:[2689, 1550], finish: [2706, 1228], earliest_start: 1, latest finish: 28517, distance: 339
id: 2920, start:[2935, 735], finish: [2912, 1065], earliest_start: 1, latest finish: 12835, distance: 353
id: 4094, start:[2316, 1356], finish: [2139, 1158], earliest_start: 1, latest finish: 5841, distance: 375
id: 4008, start:[3013, 966], finish: [2697, 884], earliest_start: 1, latest finish: 30783, distance: 398
id: 7475, start:[2512, 1114], finish: [2356, 854], earliest_start: 1, latest finish: 14731, distance: 416
id: 8310, start:[3037, 927], finish: [2895, 602], earliest_start: 1, latest finish: 21203, distance: 467
id: 6002, start:[2569, 1008], finish: [2499, 1451], earliest_start: 1, latest finish: 30164, distance: 513
id: 9393, start:[2909, 1532], finish: [2788, 1094], earliest_start: 1, latest finish: 14219, distance: 559
id: 6783, start:[2768, 1404], finish: [2833, 905], earliest_start: 1, latest finish: 12260, distance: 564
id: 5335, start:[2520, 798], finish: [2213, 1075], earliest_start: 1, latest finish: 21466, distance: 584
id: 88, start:[2260, 771], finish: [2775, 889], earliest_start: 1, latest finish: 15955, distance: 633
id: 2432, start:[2422, 1094], finish: [2342, 521], earliest_start: 1, latest finish: 13113, distance: 653
id: 3156, start:[3235, 1190], finish: [2886, 859], earliest_start: 1, latest finish: 5606, distance: 680
id: 7965, start:[2743, 717], finish: [2414, 1075], earliest_start: 1, latest finish: 18268, distance: 687
id: 8175, start:[2229, 1096], finish: [2666, 1370], earliest_start: 1, latest finish: 16015, distance: 711
id: 2356, start:[3472, 1693], finish: [3603, 1073], earliest_start: 1, latest finish: 15833, distance: 751
id: 3869, start:[3195, 1423], finish: [3089, 2072], earliest_start: 1, latest finish: 16929, distance: 755
id: 2571, start:[2765, 1024], finish: [2282, 750], earliest_start: 1, latest finish: 16142, distance: 757
id: 5299, start:[2909, 1262], finish: [2202, 1342], earliest_start: 1, latest finish: 11084, distance: 787
id: 9707, start:[2875, 1270], finish: [2689, 659], earliest_start: 1, latest finish: 21768, distance: 797
id: 84, start:[3473, 1428], finish: [2985, 1068], earliest_start: 1, latest finish: 12843, distance: 848
id: 1543, start:[2754, 1651], finish: [2795, 844], earliest_start: 1, latest finish: 14596, distance: 848
id: 7928, start:[3153, 1410], finish: [2949, 766], earliest_start: 1, latest finish: 16904, distance: 848
id: 2949, start:[2975, 1376], finish: [3105, 2100], earliest_start: 1, latest finish: 9252, distance: 854
id: 1900, start:[2887, 1032], finish: [2306, 745], earliest_start: 1, latest finish: 2597, distance: 868
id: 4525, start:[2421, 572], finish: [3178, 454], earliest_start: 1, latest finish: 24683, distance: 875
id: 4839, start:[2986, 194], finish: [2734, 876], earliest_start: 1, latest finish: 5659, distance: 934
id: 2135, start:[3100, 1249], finish: [2754, 1848], earliest_start: 1, latest finish: 17433, distance: 945
id: 1335, start:[2563, 1492], finish: [1811, 1276], earliest_start: 1, latest finish: 6399, distance: 968
id: 5440, start:[2940, 829], finish: [2566, 232], earliest_start: 1, latest finish: 18889, distance: 971
id: 837, start:[3427, 1388], finish: [3372, 469], earliest_start: 1, latest finish: 4479, distance: 974
id: 1315, start:[3194, 947], finish: [2188, 873], earliest_start: 1, latest finish: 14561, distance: 1080
id: 2519, start:[2443, 509], finish: [1647, 803], earliest_start: 1, latest finish: 17343, distance: 1090
id: 6466, start:[2063, 706], finish: [3207, 658], earliest_start: 1, latest finish: 20612, distance: 1192
id: 8640, start:[3421, 1188], finish: [2709, 708], earliest_start: 1, latest finish: 28410, distance: 1192
id: 5970, start:[2547, 618], finish: [2114, 1450], earliest_start: 1, latest finish: 24449, distance: 1265
id: 187, start:[2350, 930], finish: [3283, 1311], earliest_start: 1, latest finish: 22702, distance: 1314
id: 5018, start:[2301, 602], finish: [3503, 723], earliest_start: 1, latest finish: 10837, distance: 1323
id: 3253, start:[2948, 1705], finish: [3470, 855], earliest_start: 1, latest finish: 13942, distance: 1372
id: 4309, start:[2115, 1036], finish: [3086, 1444], earliest_start: 1, latest finish: 15091, distance: 1379
id: 1757, start:[3221, 537], finish: [2412, 1172], earliest_start: 1, latest finish: 19651, distance: 1444
id: 1515, start:[2952, 1556], finish: [3379, 537], earliest_start: 1, latest finish: 17513, distance: 1446
id: 7005, start:[3112, 910], finish: [4030, 381], earliest_start: 1, latest finish: 2809, distance: 1447
id: 3629, start:[3601, 72], finish: [3071, 990], earliest_start: 1, latest finish: 24221, distance: 1448
id: 7956, start:[3772, 1238], finish: [2360, 1183], earliest_start: 1, latest finish: 22281, distance: 1467
id: 6670, start:[2997, 739], finish: [1863, 1074], earliest_start: 1, latest finish: 29116, distance: 1469
id: 303, start:[3330, 714], finish: [2621, 1489], earliest_start: 1, latest finish: 5622, distance: 1484
id: 7399, start:[3571, 1738], finish: [3203, 554], earliest_start: 1, latest finish: 12970, distance: 1552
id: 6412, start:[2816, 1532], finish: [3205, 217], earliest_start: 1, latest finish: 18147, distance: 1704
id: 8292, start:[2517, 1085], finish: [3607, 329], earliest_start: 1, latest finish: 10103, distance: 1846
id: 1209, start:[2239, 437], finish: [3144, 1434], earliest_start: 1, latest finish: 11442, distance: 1902
id: 48, start:[3589, 1489], finish: [1982, 1188], earliest_start: 1, latest finish: 4855, distance: 1908
id: 2009, start:[2667, 1941], finish: [2841, 169], earliest_start: 1, latest finish: 5271, distance: 1946
id: 5868, start:[2584, 2148], finish: [3774, 1375], earliest_start: 1, latest finish: 24540, distance: 1963
id: 2695, start:[3572, 1462], finish: [2052, 991], earliest_start: 1, latest finish: 24606, distance: 1991
id: 4078, start:[3036, 921], finish: [1865, 1755], earliest_start: 1, latest finish: 26436, distance: 2005
id: 1992, start:[2371, 2164], finish: [3343, 1115], earliest_start: 1, latest finish: 9096, distance: 2021
id: 9313, start:[2132, 804], finish: [3395, 1574], earliest_start: 1, latest finish: 25946, distance: 2033
id: 568, start:[3931, 1486], finish: [2610, 766], earliest_start: 1, latest finish: 21515, distance: 2041
id: 474, start:[3897, 813], finish: [2221, 1425], earliest_start: 1, latest finish: 20088, distance: 2288
id: 1560, start:[2682, 654], finish: [677, 209], earliest_start: 1, latest finish: 26382, distance: 2450
id: 4435, start:[3808, 790], finish: [2288, 1903], earliest_start: 1, latest finish: 10149, distance: 2633
id: 3580, start:[2788, 562], finish: [1251, 1754], earliest_start: 1, latest finish: 8450, distance: 2729
id: 9913, start:[3355, 577], finish: [9999, 732], earliest_start: 1, latest finish: 10988, distance: 6799
id: 6403, start:[2929, 1494], finish: [1083, 7865], earliest_start: 1, latest finish: 22364, distance: 8217
id: 9256, start:[2341, 1041], finish: [288, 7240], earliest_start: 1, latest finish: 11043, distance: 8252
id: 7109, start:[1985, 1071], finish: [9999, 795], earliest_start: 1, latest finish: 29622, distance: 8290
id: 6031, start:[2203, 1035], finish: [9999, 447], earliest_start: 1, latest finish: 26937, distance: 8384
id: 5137, start:[2682, 1683], finish: [428, 8240], earliest_start: 1, latest finish: 8949, distance: 8811
id: 3696, start:[3229, 1065], finish: [9999, 3736], earliest_start: 1, latest finish: 40110, distance: 9441
id: 1178, start:[2894, 647], finish: [1450, 8907], earliest_start: 1, latest finish: 14229, distance: 9704
id: 719, start:[2482, 720], finish: [37, 8002], earliest_start: 1, latest finish: 22669, distance: 9727
id: 6252, start:[2938, 450], finish: [9999, 3393], earliest_start: 1, latest finish: 22778, distance: 10004
id: 7270, start:[2968, 921], finish: [1313, 9830], earliest_start: 1, latest finish: 13221, distance: 10564
id: 8773, start:[3175, 405], finish: [9999, 6310], earliest_start: 1, latest finish: 23462, distance: 12729
id: 7013, start:[3368, 735], finish: [9999, 7818], earliest_start: 1, latest finish: 28642, distance: 13714
id: 2581, start:[2573, 743], finish: [9999, 7500], earliest_start: 1, latest finish: 16112, distance: 14183
id: 9504, start:[2756, 535], finish: [9999, 9669], earliest_start: 1, latest finish: 18396, distance: 16377
***************************************
********************
id: 2465, start:[2449, 613], finish: [2293, 1577], earliest_start: 9, latest finish: 19644, distance: 1120
***************************************
********************
id: 9976, start:[2802, 1154], finish: [3656, 1317], earliest_start: 155, latest finish: 17221, distance: 1017
***************************************
********************
id: 4379, start:[3092, 2177], finish: [2920, 507], earliest_start: 203, latest finish: 12888, distance: 1842
***************************************
********************
id: 3607, start:[2758, 956], finish: [3332, 1627], earliest_start: 215, latest finish: 14168, distance: 1245
***************************************
********************
id: 5497, start:[2829, 895], finish: [2422, 864], earliest_start: 219, latest finish: 6274, distance: 438
***************************************
********************
id: 9847, start:[2985, 923], finish: [1914, 1228], earliest_start: 285, latest finish: 29695, distance: 1376
***************************************
********************
id: 8878, start:[3503, 578], finish: [9999, 594], earliest_start: 302, latest finish: 27365, distance: 6512
***************************************
********************
id: 9752, start:[2989, 740], finish: [3263, 1536], earliest_start: 386, latest finish: 27867, distance: 1070
***************************************
********************
id: 2735, start:[2034, 52], finish: [2623, 1494], earliest_start: 390, latest finish: 18573, distance: 2031
